SKU,名称,分类,属性1名称,属性1值,属性1可见,属性1全局,属性2名称,属性2值,属性2可见,属性2全局,属性3名称,属性3值,属性3可见,属性3全局,属性4名称,属性4值,属性4可见,属性4全局
659641018336-2,s925纯银风车项链女时尚简约森系镶钻花朵锁骨链吊坠小清新系列 - 黄色-925银,,Color,黄色-925银,,0,brand,,,0,,,,,,,,
658634483074,2022新款S925纯银吊坠女十二生肖属相虎吊坠锁骨链送女友新年礼物,项饰 > 项链,Color,黑玛瑙-925银,1,0,brand,爱如美,1,0,technology,电镀,1,0,material,银,1,0
658634483074-1,2022新款S925纯银吊坠女十二生肖属相虎吊坠锁骨链送女友新年礼物 - 黑玛瑙-925银,,Color,黑玛瑙-925银,,0,brand,,,0,,,,,,,,
658840640079,s925纯银圆形微镶锆石笑脸项链女欧美嘻哈满钻潮酷风锁骨链吊坠,项饰 > 项链,Color,"白色-925银, 黄色-925银",1,0,brand,沛尚,1,0,technology,镶钻,1,0,material,银,1,0
658840640079-1,s925纯银圆形微镶锆石笑脸项链女欧美嘻哈满钻潮酷风锁骨链吊坠 - 白色-925银,,Color,白色-925银,,0,brand,,,0,,,,,,,,
658840640079-2,s925纯银圆形微镶锆石笑脸项链女欧美嘻哈满钻潮酷风锁骨链吊坠 - 黄色-925银,,Color,黄色-925银,,0,brand,,,0,,,,,,,,
655880088826,韩版新款ins百搭镶钻锁骨链s925银心形贝壳镶钻项链吊坠简约颈链,项饰 > 项链,Color,"白色-925银, 黄色-925银",1,0,brand,沛尚,1,0,technology,镶钻,1,0,material,银,1,0
655880088826-1,韩版新款ins百搭镶钻锁骨链s925银心形贝壳镶钻项链吊坠简约颈链 - 白色-925银,,Color,白色-925银,,0,brand,,,0,,,,,,,,
655880088826-2,韩版新款ins百搭镶钻锁骨链s925银心形贝壳镶钻项链吊坠简约颈链 - 黄色-925银,,Color,黄色-925银,,0,brand,,,0,,,,,,,,
655891840639,s925纯银镶钻手铐项链女欧美复古网红ins潮嘻哈冷淡风吊坠锁骨链,项饰 > 项链,Color,"白色-925银, 黄色-925银",1,0,brand,沛尚,1,0,technology,镶钻,1,0,material,银,1,0
655891840639-1,s925纯银镶钻手铐项链女欧美复古网红ins潮嘻哈冷淡风吊坠锁骨链 - 白色-925银,,Color,白色-925银,,0,brand,,,0,,,,,,,,
655891840639-2,s925纯银镶钻手铐项链女欧美复古网红ins潮嘻哈冷淡风吊坠锁骨链 - 黄色-925银,,Color,黄色-925银,,0,brand,,,0,,,,,,,,
655895780223,s925纯银锁头项链女简约气质ins冷淡风镶钻小众设计小锁扣锁骨链,项饰 > 项链,Color,"白色-925银, 黄色-925银",1,0,brand,沛尚,1,0,technology,镶钻,1,0,material,银,1,0
655895780223-1,s925纯银锁头项链女简约气质ins冷淡风镶钻小众设计小锁扣锁骨链 - 白色-925银,,Color,白色-925银,,0,brand,,,0,,,,,,,,
655895780223-2,s925纯银锁头项链女简约气质ins冷淡风镶钻小众设计小锁扣锁骨链 - 黄色-925银,,Color,黄色-925银,,0,brand,,,0,,,,,,,,
655901768106,s925纯银方形祖母绿宝石吊坠项链女日系轻奢简约镶钻锁骨链银项饰,项饰 > 项链,Color,"白色-925银, 黄色-925银",1,0,brand,沛尚,1,0,technology,镶宝石,1,0,material,银,1,0
655901768106-1,s925纯银方形祖母绿宝石吊坠项链女日系轻奢简约镶钻锁骨链银项饰 - 白色-925银,,Color,白色-925银,,0,brand,,,0,,,,,,,,
655901768106-2,s925纯银方形祖母绿宝石吊坠项链女日系轻奢简约镶钻锁骨链银项饰 - 黄色-925银,,Color,黄色-925银,,0,brand,,,0,,,,,,,,
656345821441,s925银微镶锆石几何方形光面吊牌项链女欧美ins风简约潮牌锁骨链,项饰 > 项链,Color,"白色-925银, 黄色-925银",1,0,brand,沛尚,1,0,technology,镶钻,1,0,material,银,1,0
656345821441-1,s925银微镶锆石几何方形光面吊牌项链女欧美ins风简约潮牌锁骨链 - 白色-925银,,Color,白色-925银,,0,brand,,,0,,,,,,,,
656345821441-2,s925银微镶锆石几何方形光面吊牌项链女欧美ins风简约潮牌锁骨链 - 黄色-925银,,Color,黄色-925银,,0,brand,,,0,,,,,,,,
657929083497,日韩新款S925银锁骨链项链女小众设计感简约双层间珠纯银项链批发,项饰 > 项链,Color,"厚银白金-925银, 10K黄金+泳漆-925银",1,0,brand,爱如美,1,0,technology,电镀,1,0,material,银,1,0
657929083497-1,日韩新款S925银锁骨链项链女小众设计感简约双层间珠纯银项链批发 - 厚银白金-925银,,Color,厚银白金-925银,,0,brand,,,0,,,,,,,,
657929083497-2,日韩新款S925银锁骨链项链女小众设计感简约双层间珠纯银项链批发 - 10K黄金+泳漆-925银,,Color,10K黄金+泳漆-925银,,0,brand,,,0,,,,,,,,
659097958031,韩版轻奢秋冬款带花粉晶项链ins风简约百搭925银吊坠锁骨链女批发,项饰 > 项链,Color,吊坠不含链-925银,1,0,brand,爱如美,1,0,technology,电镀,1,0,material,银,1,0
659097958031-1,韩版轻奢秋冬款带花粉晶项链ins风简约百搭925银吊坠锁骨链女批发 - 吊坠不含链-925银,,Color,吊坠不含链-925银,,0,brand,,,0,,,,,,,,
660040947168,S925纯银八芒星吊坠日系简约天空蓝天然托帕石锁骨链颈链项链女潮,项饰 > 项链,Color,"白色-925银, 黄色-925银",1,0,brand,沛尚,1,0,technology,镶宝石,1,0,material,银,1,0
660040947168-1,S925纯银八芒星吊坠日系简约天空蓝天然托帕石锁骨链颈链项链女潮 - 白色-925银,,Color,白色-925银,,0,brand,,,0,,,,,,,,
660040947168-2,S925纯银八芒星吊坠日系简约天空蓝天然托帕石锁骨链颈链项链女潮 - 黄色-925银,,Color,黄色-925银,,0,brand,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
